BidIdentifier,BidName,BIDHumanName
10226005610_102265610_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226005753_102265753_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226005754_102265754_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226005755_102265755_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226005840_102265840_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226005846_102265846_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226006019_102266019_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226006078_102266078_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226006079_102266079_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226006098_102266098_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226006120_102266120_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226006152_102266152_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226006154_102266154_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226006161_102266161_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226006205_102266205_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226006256_102266256_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226006381_102266381_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226006648_102266648_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226006719_102266719_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226006849_102266849_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226006908_102266908_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226006939_102266939_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226007035_102267035_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226007040_102267040_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226007048_102267048_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226007057_102267057_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226007094_102267094_QW01_QW015_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226007232_102267232_QW01_QW014_SteinwayStreet,SteinwayStreet,Steinway Street BID
10226007289_102267289_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226007314_102267314_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226007326_102267326_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226007385_102267385_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226007387_102267387_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226007437_102267437_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226007438_102267438_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226007669_102267669_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226007688_102267688_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226007691_102267691_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226007785_102267785_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226007882_102267882_QW02_QW023_SunnysideShines,SunnysideShines,Sunnyside Shines
10226007900_102267900_QW02_QW022_SunnysideShines,SunnysideShines,Sunnyside Shines
10226008386_102268386_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226008396_102268396_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226008478_102268478_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226008489_102268489_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226008494_102268494_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226008496_102268496_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226008709_102268709_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226008715_102268715_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226008717_102268717_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226008718_102268718_QW02_QW023_LongIslandCity,LongIslandCity,Long Island City
10226009008_102269008_QW02_QW022_LongIslandCity,LongIslandCity,Long Island City
10226009678_102261007_MN06_MN062_LongIslandCity,LongIslandCity,Long Island City
10226009679_102261008_MN06_MN062_LongIslandCity,LongIslandCity,Long Island City
11226000255_112260255_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226001305_112261305_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226001555_112261555_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226001739_112261739_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226002763_112262763_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226002823_112262823_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226002824_112262824_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226002955_112262955_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226003048_112263048_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226003050_112263050_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226003366_112263366_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226003372_112263372_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226003753_112263753_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226003759_112263759_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226003760_112263760_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226003796_112263796_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226004104_112264104_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226004319_112264319_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226004359_112264359_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226004455_112264455_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226004458_112264458_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226004823_112264823_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226004824_112264824_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226005275_112265275_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226005581_112265581_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226005937_112265937_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226005962_112265962_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226006555_112266555_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226006556_112266556_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226006597_112266597_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226006599_112266599_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226006714_112266714_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226006715_112266715_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226006741_112266741_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226007141_112267141_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226007159_112267159_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226007160_112267160_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226007161_112267161_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226007527_112267527_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226008303_112268303_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226008304_112268304_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226008368_112268368_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226008490_112268490_QE11_QE116_BaysideVillage,BaysideVillage,Bayside Village
11226008555_112268555_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226008591_112268591_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226008873_112268873_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226008952_112268952_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226009414_112269414_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226009415_112269415_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
11226009669_112269669_QE07_QE071_DowntownFlushing,DowntownFlushing,Downtown Flushing
11226009763_112269763_QE11_QE112_BaysideVillage,BaysideVillage,Bayside Village
12226000001_122260000_MN02_MN022_NoHo,NoHo,NoHo BID
12226000008_122260000_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000009_122260000_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000021_122260002_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000040_122260004_MN02_MN022_VillageAlliance,VillageAlliance,Village Alliance BID
12226000049_122260004_MN02_MN023_Meatpacking,Meatpacking,Meatpacking BID
12226000063_122260006_MN04_MN042_34thStreet,34thStreet,34th Street BID
12226000079_122260007_MN01_MN013_Chinatown,Chinatown,Chinatown
12226000085_122260008_MN02_MN022_NoHo,NoHo,NoHo BID
12226000103_122260010_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000106_122260010_MN02_MN022_NoHo,NoHo,NoHo BID
12226000112_122260011_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000146_122260014_MN04_MN042_34thStreet,34thStreet,34th Street BID
12226000148_122260014_MN01_MN011_DowntownAlliance,DowntownAlliance,Downtown Alliance BID
12226000153_122260015_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000161_212262372_MN03_MN031_Chinatown,Chinatown,Chinatown
12226000171_122260017_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000188_122260018_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000254_122260025_MN02_MN022_NoHo,NoHo,NoHo BID
12226000259_122260025_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000269_122260026_MN02_MN022_NoHo,NoHo,NoHo BID
12226000276_122260027_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000327_122260032_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000357_122260035_MN03_MN031_Chinatown,Chinatown,Chinatown
12226000363_122260036_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000368_122260036_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000369_122260036_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000372_122260037_MN02_MN023_Meatpacking,Meatpacking,Meatpacking BID
12226000373_122260037_MN02_MN023_Meatpacking,Meatpacking,Meatpacking BID
12226000377_212261620_BKN02_BKN021_DUMBO,DUMBO,DUMBO
12226000379_122260037_MN05_MN051_GarmentDistrict,GarmentDistrict,Garment District
12226000381_122260038_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000382_122260038_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000385_122260038_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000390_212260114_BKN02_BKN021_DUMBO,DUMBO,DUMBO
12226000402_212262261_MN03_MN031_Chinatown,Chinatown,Chinatown
12226000403_122260040_MN03_MN031_Chinatown,Chinatown,Chinatown
12226000404_212261868_BKN02_BKN021_DUMBO,DUMBO,DUMBO
12226000406_122260040_MN05_MN052_TimesSquare,TimesSquare,Times Square BID
12226000416_122260041_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000419_122260041_MN05_MN051_14thStreet,14thStreet,14th Street BID
12226000426_122260042_MN05_MN051_34thStreet,34thStreet,34th Street BID
12226000427_122260042_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000430_122260043_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000435_122260043_MN03_MN031_Chinatown,Chinatown,Chinatown
12226000437_122260043_MN05_MN051_GarmentDistrict,GarmentDistrict,Garment District
12226000445_122260044_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000446_122260044_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000448_122260044_MN05_MN051_Flatiron23rdStree,Flatiron23rdStreetPartnership,Flatiron/23rd Street Partnership
12226000466_122260046_MN02_MN021_HudsonSquare,HudsonSquare,Hudson Square
12226000469_122260046_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000470_122260047_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000474_122260047_MN05_MN051_Flatiron23rdStree,Flatiron23rdStreetPartnership,Flatiron/23rd Street Partnership
12226000493_122260049_MN05_MN052_TimesSquare,TimesSquare,Times Square BID
12226000513_122260051_MN04_MN042_34thStreet,34thStreet,34th Street BID
12226000530_122260053_MN04_MN042_34thStreet,34thStreet,34th Street BID
12226000538_122260053_MN04_MN043_TimesSquare,TimesSquare,Times Square BID
12226000539_122260053_MN04_MN043_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000579_122260057_MN01_MN011_DowntownAlliance,DowntownAlliance,Downtown Alliance BID
12226000581_122260058_MN05_MN051_Flatiron23rdStree,Flatiron23rdStreetPartnership,Flatiron/23rd Street Partnership
12226000606_122260060_MN04_MN043_TimesSquare,TimesSquare,Times Square BID
12226000607_122260060_MN04_MN043_TimesSquare,TimesSquare,Times Square BID
12226000620_122260062_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000622_122260062_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000664_122260066_MN03_MN032_LowerEastSide,LowerEastSide,Lower East Side BID
12226000669_122260066_MN02_MN023_VillageAlliance,VillageAlliance,Village Alliance BID
12226000674_122260067_MN04_MN043_LincolnSquare,LincolnSquare,Lincoln Square BID
12226000676_122260067_MN04_MN043_LincolnSquare,LincolnSquare,Lincoln Square BID
12226000677_122260067_MN02_MN023_VillageAlliance,VillageAlliance,Village Alliance BID
12226000699_122260069_MN03_MN032_LowerEastSide,LowerEastSide,Lower East Side BID
12226000700_122260070_MN03_MN032_LowerEastSide,LowerEastSide,Lower East Side BID
12226000709_122260070_MN08_MN081_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226000711_122260071_MN08_MN081_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226000714_122260071_MN05_MN051_GarmentDistrict,GarmentDistrict,Garment District
12226000715_122260071_MN05_MN051_GarmentDistrict,GarmentDistrict,Garment District
12226000718_122260071_MN02_MN021_HudsonSquare,HudsonSquare,Hudson Square
12226000740_122260074_MN03_MN034_VillageAlliance,VillageAlliance,Village Alliance BID
12226000741_122260074_MN03_MN034_VillageAlliance,VillageAlliance,Village Alliance BID
12226000743_122260074_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000744_122260074_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000746_122260074_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000747_122260074_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000754_122260075_MN06_MN062_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000757_122260075_MN03_MN032_LowerEastSide,LowerEastSide,Lower East Side BID
12226000758_122260075_MN03_MN032_LowerEastSide,LowerEastSide,Lower East Side BID
12226000759_122260075_MN03_MN032_LowerEastSide,LowerEastSide,Lower East Side BID
12226000768_122260076_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000772_122260077_MN05_MN052_5thAvenue,5thAvenue,5th Avenue BID
12226000773_122260077_MN05_MN051_14thStreet,14thStreet,14th Street BID
12226000778_122260077_MN05_MN051_34thStreet,34thStreet,34th Street BID
12226000779_122260077_MN05_MN051_34thStreet,34thStreet,34th Street BID
12226000785_122260078_MN08_MN081_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226000786_122260078_MN08_MN081_MadisonAvenue,MadisonAvenue,Madison Avenue BID
12226000799_122260079_MN02_MN022_VillageAlliance,VillageAlliance,Village Alliance BID
12226000813_122260081_MN02_MN023_Meatpacking,Meatpacking,Meatpacking BID
12226000816_122260081_MN02_MN021_SoHoBroadway,SoHoBroadway,SoHo Broadway BID
12226000817_122260081_MN02_MN021_SoHoBroadway,SoHoBroadway,SoHo Broadway BID
12226000819_122260081_MN04_MN042_34thStreet,34thStreet,34th Street BID
12226000829_122260082_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000838_122260083_MN06_MN062_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000839_122260083_MN06_MN062_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000840_122260084_MN06_MN062_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000844_122260084_MN02_MN021_Chinatown,Chinatown,Chinatown
12226000845_122260084_MN02_MN021_Chinatown,Chinatown,Chinatown
12226000867_122260086_MN02_MN022_NoHo,NoHo,NoHo BID
12226000868_122260086_MN02_MN022_NoHo,NoHo,NoHo BID
12226000871_122260087_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000876_122260087_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000877_122260087_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000920_122260092_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000921_122260092_MN04_MN042_GarmentDistrict,GarmentDistrict,Garment District
12226000922_122260092_MN04_MN042_GarmentDistrict,GarmentDistrict,Garment District
12226000938_122260093_MN02_MN022_VillageAlliance,VillageAlliance,Village Alliance BID
12226000939_122260093_MN02_MN022_VillageAlliance,VillageAlliance,Village Alliance BID
12226000940_122260094_MN02_MN022_VillageAlliance,VillageAlliance,Village Alliance BID
12226000942_122260094_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000943_122260094_MN04_MN041_Meatpacking,Meatpacking,Meatpacking BID
12226000948_122260094_MN04_MN042_GarmentDistrict,GarmentDistrict,Garment District
12226000949_122260094_MN04_MN042_HudsonYardsHellsK,HudsonYardsHellsKitchen,Hudson Yards/Hell's Kitchen
12226000952_122260095_MN04_MN042_34thStreet,34thStreet,34th Street BID
12226000961_122260096_MN06_MN063_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226000963_122260096_MN06_MN063_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226000974_122260097_MN05_MN052_TimesSquare,TimesSquare,Times Square BID
12226000977_122260097_MN05_MN052_TimesSquare,TimesSquare,Times Square BID
12226000978_122260097_MN05_MN052_TimesSquare,TimesSquare,Times Square BID
12226000982_122260098_MN08_MN081_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226000984_122260098_MN08_MN081_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226000985_122260098_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226000996_122260099_MN05_MN051_14thStreet,14thStreet,14th Street BID
12226000997_122260099_MN05_MN051_14thStreet,14thStreet,14th Street BID
12226001000_122260100_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226001001_122260100_MN06_MN062_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226001002_122260100_MN06_MN062_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226001005_122260100_MN05_MN051_Flatiron23rdStree,Flatiron23rdStreetPartnership,Flatiron/23rd Street Partnership
12226001006_122260100_MN05_MN051_Flatiron23rdStree,Flatiron23rdStreetPartnership,Flatiron/23rd Street Partnership
12226001010_122260101_MN08_MN081_MadisonAvenue,MadisonAvenue,Madison Avenue BID
12226001034_122260103_MN05_MN051_14thStreet,14thStreet,14th Street BID
12226001045_122260104_MN02_MN021_Chinatown,Chinatown,Chinatown
12226001059_122260105_MN05_MN051_Flatiron23rdStree,Flatiron23rdStreetPartnership,Flatiron/23rd Street Partnership
12226001066_122260106_MN02_MN022_NoHo,NoHo,NoHo BID
12226001070_122260107_MN03_MN034_VillageAlliance,VillageAlliance,Village Alliance BID
12226001104_122260110_MN05_MN052_GrandCentralPartn,GrandCentralPartnership,Grand Central Partnership
12226001108_122260110_MN06_MN063_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226001124_122260112_MN04_MN043_GarmentDistrict,GarmentDistrict,Garment District
12226001125_122260112_MN04_MN043_GarmentDistrict,GarmentDistrict,Garment District
12226001126_122260112_MN04_MN043_GarmentDistrict,GarmentDistrict,Garment District
12226001138_122260113_MN02_MN021_HudsonSquare,HudsonSquare,Hudson Square
12226001165_122260116_MN05_MN052_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226001166_122260116_MN05_MN052_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226001176_122260117_MN05_MN051_34thStreet,34thStreet,34th Street BID
12226001208_122260120_MN05_MN052_EastMidManhattan,EastMidManhattan,East Mid-Manhattan BID
12226001266_122260126_MN04_MN042_34thStreet,34thStreet,34th Street BID
12226001268_122260126_MN04_MN042_34thStreet,34thStreet,34th Street BID
